"","month","origin_state","dest_state","N"
"529",1,"illinois","north dakota",172
"530",1,"illinois","wisconsin",863
"531",1,"mississippi","texas",587
"532",1,"illinois","arkansas",233
"533",1,"arkansas","illinois",251
"534",1,"arkansas","virginia",59
"535",1,"texas","mississippi",587
"536",1,"south dakota","illinois",95
"537",1,"illinois","south dakota",93
"538",1,"new york","indiana",283
"539",1,"north carolina","michigan",647
"540",1,"michigan","north carolina",648
"541",1,"florida","south carolina",300
"542",1,"texas","michigan",887
"543",1,"michigan","texas",887
"544",1,"montana","illinois",103
"545",1,"illinois","montana",103
"546",1,"kansas","illinois",195
"547",1,"illinois","kansas",194
"548",1,"south carolina","florida",300
"549",1,"montana","texas",109
"550",1,"south carolina","virginia",382
"551",1,"virginia","south carolina",383
"552",1,"virginia","kentucky",323
"553",1,"kentucky","virginia",334
"554",1,"vermont","virginia",121
"555",1,"virginia","virginia",393
"556",1,"virginia","michigan",684
"557",1,"virginia","pennsylvania",493
"558",1,"connecticut","virginia",286
"559",1,"virginia","minnesota",384
"560",1,"michigan","virginia",687
"561",1,"new hampshire","virginia",122
"562",1,"minnesota","virginia",383
"563",1,"virginia","vermont",120
"564",1,"virginia","massachusetts",1162
"565",1,"connecticut","texas",49
"566",1,"massachusetts","virginia",1184
"567",1,"virginia","new hampshire",122
"568",1,"pennsylvania","virginia",502
"569",1,"indiana","virginia",230
"570",1,"virginia","connecticut",286
"571",1,"virginia","alabama",217
"572",1,"virginia","indiana",214
"573",1,"alabama","virginia",212
"574",1,"texas","connecticut",48
"575",1,"texas","idaho",117
"576",1,"idaho","texas",117
"577",1,"arizona","hawaii",165
"578",1,"hawaii","arizona",165
"579",1,"oregon","hawaii",217
"580",1,"hawaii","oregon",217
"581",1,"hawaii","new york",35
"582",1,"new york","hawaii",35
"583",1,"massachusetts","hawaii",21
"584",1,"hawaii","massachusetts",22
"585",1,"hawaii","u.s. pacific trust territories and possessions",40
"586",1,"u.s. pacific trust territories and possessions","hawaii",40
"587",1,"ohio","pennsylvania",320
"588",1,"pennsylvania","nebraska",31
"589",1,"virginia","west virginia",61
"590",1,"north carolina","kentucky",535
"591",1,"kentucky","north carolina",536
"592",1,"pennsylvania","ohio",345
"593",1,"north carolina","south carolina",997
"594",1,"south carolina","north carolina",997
"595",1,"north carolina","alabama",350
"596",1,"north carolina","west virginia",146
"597",1,"pennsylvania","north carolina",1144
"598",1,"pennsylvania","west virginia",27
"599",1,"virginia","mississippi",30
"600",1,"virginia","maine",199
"601",1,"ohio","north carolina",758
"602",1,"north carolina","mississippi",183
"603",1,"pennsylvania","kentucky",216
"604",1,"wisconsin","north carolina",238
"605",1,"kentucky","pennsylvania",217
"606",1,"north carolina","indiana",384
"607",1,"south carolina","pennsylvania",128
"608",1,"pennsylvania","south carolina",129
"609",1,"north carolina","ohio",734
"610",1,"north carolina","wisconsin",238
"611",1,"indiana","pennsylvania",137
"612",1,"north carolina","oklahoma",151
"613",1,"alabama","pennsylvania",59
"614",1,"north carolina","arkansas",234
"615",1,"iowa","north carolina",199
"616",1,"north carolina","iowa",200
"617",1,"michigan","pennsylvania",772
"618",1,"maine","virginia",175
"619",1,"pennsylvania","alabama",60
"620",1,"alabama","north carolina",350
"621",1,"west virginia","north carolina",145
"622",1,"mississippi","north carolina",183
"623",1,"arkansas","north carolina",235
"624",1,"north carolina","pennsylvania",1139
"625",1,"nebraska","pennsylvania",31
"626",1,"pennsylvania","michigan",773
"627",1,"new hampshire","north carolina",94
"628",1,"indiana","north carolina",384
"629",1,"west virginia","virginia",61
"630",1,"vermont","north carolina",68
"631",1,"north carolina","vermont",68
"632",1,"north carolina","new hampshire",95
"633",1,"new york","california",2064
"634",1,"california","new york",2061
"635",1,"texas","hawaii",190
"636",1,"hawaii","texas",190
"637",1,"pennsylvania","massachusetts",910
"638",1,"connecticut","north carolina",203
"639",1,"north carolina","connecticut",203
"640",1,"florida","massachusetts",1857
"641",1,"texas","new jersey",787
"642",1,"new jersey","texas",792
"643",1,"california","virginia",796
"644",1,"california","pennsylvania",537
"645",1,"indiana","california",96
"646",1,"hawaii","illinois",90
"647",1,"illinois","hawaii",90
"648",1,"north carolina","new jersey",792
"649",1,"new jersey","north carolina",790
"650",1,"pennsylvania","connecticut",111
"651",1,"north carolina","california",598
"652",1,"massachusetts","pennsylvania",911
"653",1,"virginia","california",798
"654",1,"california","massachusetts",923
"655",1,"florida","minnesota",821
"656",1,"arizona","arizona",942
"657",1,"massachusetts","florida",1853
"658",1,"california","north carolina",601
"659",1,"massachusetts","north carolina",730
"660",1,"north carolina","louisiana",378
"661",1,"louisiana","north carolina",378
"662",1,"pennsylvania","california",538
"663",1,"virginia","arizona",126
"664",1,"florida","washington",264
"665",1,"washington","florida",265
"666",1,"michigan","arizona",289
"667",1,"maine","north carolina",89
"668",1,"puerto rico","north carolina",84
"669",1,"massachusetts","new york",1529
"670",1,"washington","north carolina",146
"671",1,"massachusetts","arizona",143
"672",1,"louisiana","pennsylvania",49
"673",1,"new york","arizona",257
"674",1,"north dakota","arizona",116
"675",1,"arizona","north dakota",116
"676",1,"pennsylvania","rhode island",103
"677",1,"north carolina","puerto rico",83
"678",1,"north carolina","maine",89
"679",1,"nevada","north carolina",246
"680",1,"texas","wyoming",75
"681",1,"wyoming","texas",76
"682",1,"minnesota","north carolina",307
"683",1,"pennsylvania","utah",64
"684",1,"pennsylvania","pennsylvania",326
"685",1,"new york","u.s. virgin islands",31
"686",1,"u.s. virgin islands","new york",31
"687",1,"florida","u.s. virgin islands",212
"688",1,"u.s. virgin islands","florida",212
"689",1,"rhode island","north carolina",115
"690",1,"north carolina","massachusetts",733
"691",1,"arizona","virginia",128
"692",1,"north carolina","minnesota",306
"693",1,"pennsylvania","louisiana",48
"694",1,"california","connecticut",6
"695",1,"texas","massachusetts",423
"696",1,"oregon","north carolina",27
"697",1,"nevada","new jersey",237
"698",1,"georgia","puerto rico",134
"699",1,"puerto rico","georgia",134
"700",1,"florida","new jersey",3075
"701",1,"colorado","alabama",71
"702",1,"alabama","colorado",71
"703",1,"georgia","new jersey",655
"704",1,"new jersey","florida",3078
"705",1,"minnesota","florida",821
"706",1,"florida","maine",71
"707",1,"maine","florida",71
"708",1,"nebraska","florida",80
"709",1,"new jersey","georgia",652
"710",1,"kentucky","louisiana",21
"711",1,"louisiana","kentucky",21
"712",1,"michigan","nevada",320
"713",1,"nevada","michigan",320
"714",1,"arizona","new jersey",213
"715",1,"florida","nebraska",80
"716",1,"florida","vermont",13
"717",1,"vermont","florida",13
"718",1,"pennsylvania","puerto rico",147
"719",1,"puerto rico","pennsylvania",147
"720",1,"puerto rico","new jersey",235
"721",1,"new jersey","puerto rico",234
"722",1,"colorado","kansas",211
"723",1,"kansas","colorado",212
"724",1,"colorado","iowa",243
"725",1,"iowa","colorado",242
"726",1,"new jersey","nevada",235
"727",1,"new jersey","arizona",216
"728",1,"arizona","iowa",138
"729",1,"iowa","arizona",138
"730",1,"georgia","utah",243
"731",1,"utah","georgia",246
"732",1,"iowa","florida",97
"733",1,"nevada","virginia",128
"734",1,"colorado","montana",449
"735",1,"montana","colorado",449
"736",1,"virginia","nevada",127
"737",1,"florida","iowa",97
"738",1,"colorado","arkansas",124
"739",1,"arkansas","colorado",106
